user,text,city,country,latitude,longitude
Marianac1620,Mañana voy hacer la evaluación de matemáticas con Diosito,N/A,N/A,N/A,N/A
Karol_abc28,"@LeandroS6789 Si, seré yo quien va perdiendo matemáticas jakakaja",N/A,N/A,N/A,N/A
BrandoPk123,"Se Suicido Cuaderno De Matematicas, Tenia Muchos Problemas 😥😥😂😂",N/A,N/A,N/A,N/A
GeluacLugo,Me ha gustado un vídeo de @YouTube (https://t.co/o8K8tyuVA2 - MATEMÁTICAS FINANCIERAS - Clases 3 - VAN Formulación y Cálculo,N/A,N/A,N/A,N/A
HobiHope180294,"@namtacos Tas bien. te baja un poco matemáticas, pero tas bien. :)",N/A,N/A,N/A,N/A
stf_ov,Matematicas*😣 https://t.co/4Ugc8Fvlee,Medellín,Colombia,N/A,N/A
kareenvicthoria,"Cosas que no entiendo:
—La química.
—La física.
—Las matemáticas.
—El porqué te fuiste de mi vida cuando más te necesitaba.",N/A,N/A,N/A,N/A
noravia23,@maibortpetit Son ignorantes Maibort llegaron allí al azar como los graduandos de bachilleres con matemáticas físic… https://t.co/1HfMzO190E,N/A,N/A,N/A,N/A
proyectosRams,Las 10 mejores ideas de matemáticas para aprender jugando - Aprendiendo matemáticas | Matemática Positiva https://t.co/u4EsdJzWAG,N/A,N/A,N/A,N/A
lorenaehl,por qué le tienen miedo a los exámenes de matemáticas(? haha,N/A,N/A,N/A,N/A
DANIELVERNA2,"@Miguel_Boggiano no convecino a nadie cambiando impuestos de lugar y bajando la presión impositiva en 5 años o mas,… https://t.co/WsChatAsM4",N/A,N/A,N/A,N/A
tatii69073883,me va a ir re mal en la integradora de Matemáticas😝😂,N/A,N/A,N/A,N/A
Karla_jimenez52,Hoy estaba exponiendo un tema de matemáticas y alguien atrás estornudo como puerco.que asco.que risa😕🤣🤣🤣,N/A,N/A,N/A,N/A
Carolsteffany03,"Yo sé que me irá mal en inglés, y en matemáticas; tal vez también en ciencias sociales, probablemente en ciencias n… https://t.co/Nwdi3sQkpS",N/A,N/A,N/A,N/A
romcabrera,"@crdenas_joseph pero si estás tratando de NO hablar de matemáticas y física, entonces la plática no creo que sea muy interesante.",N/A,N/A,N/A,N/A
NessThor_A,TIPO YO EN MATEMATICAS https://t.co/wl2P3RzH4G,N/A,N/A,N/A,N/A
thekeog24,Me gustó un video de @YouTube https://t.co/OVWIyeDmwe MATEMÁTICAS,N/A,N/A,N/A,N/A
carla_solarte,Lo único que necesito en este momento es un novio que me ayude a pasar matemáticas :),N/A,N/A,N/A,N/A
vivmarquez,matematicas matematicas,"Bogotá, D.C.",Colombia,N/A,N/A
__Mugiwaraa,En la Universidad uno se estrella y se da cuenta de que nada en la vida es fácil. Yo creía que ser profesor de mate… https://t.co/KzxWdaVEgV,N/A,N/A,N/A,N/A
AinaraLucumi,"Número Pi, una curiosa cifra utilizada para casi todo #Matemáticas https://t.co/wNX0d9a9Gs",N/A,N/A,N/A,N/A
danielazam_,Viernes con V de valí verga en matemáticas,N/A,N/A,N/A,N/A
AngelCabasC,"Así es, pero los demás tambien aprendimos a matemáticas. No hay un mal que un bien no traiga. Perder por conocer no… https://t.co/oRsigKkXFj",N/A,N/A,N/A,N/A
Paaulandrea_,Tengo el parcial de matemáticas😞😞.,N/A,N/A,N/A,N/A
twoglouis,ahre que el año que viene sigo teniendo matemáticas en la facu odio todo,N/A,N/A,N/A,N/A
paolavi1604,Aquí escuchando como se ofenden con vainas matemáticas.😂😂😂,N/A,N/A,N/A,N/A
twoglouis,hoy fue mi última clase de matemáticas chau chau chau chaauuuuuu,N/A,N/A,N/A,N/A
MariaMurillo87,Highlight del día: hoy tuve final de matemáticas y la profesora lo estaba calificando y vio que me equivoqué en una… https://t.co/4kBfGPJTCU,N/A,N/A,N/A,N/A
Marianac1620,Mañana voy hacer la evaluación de matemáticas con Diosito,N/A,N/A,N/A,N/A
Karol_abc28,"@LeandroS6789 Si, seré yo quien va perdiendo matemáticas jakakaja",N/A,N/A,N/A,N/A
BrandoPk123,"Se Suicido Cuaderno De Matematicas, Tenia Muchos Problemas 😥😥😂😂",N/A,N/A,N/A,N/A
GeluacLugo,Me ha gustado un vídeo de @YouTube (https://t.co/o8K8tyuVA2 - MATEMÁTICAS FINANCIERAS - Clases 3 - VAN Formulación y Cálculo,N/A,N/A,N/A,N/A
HobiHope180294,"@namtacos Tas bien. te baja un poco matemáticas, pero tas bien. :)",N/A,N/A,N/A,N/A
stf_ov,Matematicas*😣 https://t.co/4Ugc8Fvlee,Medellín,Colombia,N/A,N/A
kareenvicthoria,"Cosas que no entiendo:
—La química.
—La física.
—Las matemáticas.
—El porqué te fuiste de mi vida cuando más te necesitaba.",N/A,N/A,N/A,N/A
noravia23,@maibortpetit Son ignorantes Maibort llegaron allí al azar como los graduandos de bachilleres con matemáticas físic… https://t.co/1HfMzO190E,N/A,N/A,N/A,N/A
proyectosRams,Las 10 mejores ideas de matemáticas para aprender jugando - Aprendiendo matemáticas | Matemática Positiva https://t.co/u4EsdJzWAG,N/A,N/A,N/A,N/A
lorenaehl,por qué le tienen miedo a los exámenes de matemáticas(? haha,N/A,N/A,N/A,N/A
DANIELVERNA2,"@Miguel_Boggiano no convecino a nadie cambiando impuestos de lugar y bajando la presión impositiva en 5 años o mas,… https://t.co/WsChatAsM4",N/A,N/A,N/A,N/A
tatii69073883,me va a ir re mal en la integradora de Matemáticas😝😂,N/A,N/A,N/A,N/A
Karla_jimenez52,Hoy estaba exponiendo un tema de matemáticas y alguien atrás estornudo como puerco.que asco.que risa😕🤣🤣🤣,N/A,N/A,N/A,N/A
Carolsteffany03,"Yo sé que me irá mal en inglés, y en matemáticas; tal vez también en ciencias sociales, probablemente en ciencias n… https://t.co/Nwdi3sQkpS",N/A,N/A,N/A,N/A
romcabrera,"@crdenas_joseph pero si estás tratando de NO hablar de matemáticas y física, entonces la plática no creo que sea muy interesante.",N/A,N/A,N/A,N/A
NessThor_A,TIPO YO EN MATEMATICAS https://t.co/wl2P3RzH4G,N/A,N/A,N/A,N/A
thekeog24,Me gustó un video de @YouTube https://t.co/OVWIyeDmwe MATEMÁTICAS,N/A,N/A,N/A,N/A
carla_solarte,Lo único que necesito en este momento es un novio que me ayude a pasar matemáticas :),N/A,N/A,N/A,N/A
vivmarquez,matematicas matematicas,"Bogotá, D.C.",Colombia,N/A,N/A
__Mugiwaraa,En la Universidad uno se estrella y se da cuenta de que nada en la vida es fácil. Yo creía que ser profesor de mate… https://t.co/KzxWdaVEgV,N/A,N/A,N/A,N/A
AinaraLucumi,"Número Pi, una curiosa cifra utilizada para casi todo #Matemáticas https://t.co/wNX0d9a9Gs",N/A,N/A,N/A,N/A
danielazam_,Viernes con V de valí verga en matemáticas,N/A,N/A,N/A,N/A
AngelCabasC,"Así es, pero los demás tambien aprendimos a matemáticas. No hay un mal que un bien no traiga. Perder por conocer no… https://t.co/oRsigKkXFj",N/A,N/A,N/A,N/A
Paaulandrea_,Tengo el parcial de matemáticas😞😞.,N/A,N/A,N/A,N/A
twoglouis,ahre que el año que viene sigo teniendo matemáticas en la facu odio todo,N/A,N/A,N/A,N/A
paolavi1604,Aquí escuchando como se ofenden con vainas matemáticas.😂😂😂,N/A,N/A,N/A,N/A
twoglouis,hoy fue mi última clase de matemáticas chau chau chau chaauuuuuu,N/A,N/A,N/A,N/A
MariaMurillo87,Highlight del día: hoy tuve final de matemáticas y la profesora lo estaba calificando y vio que me equivoqué en una… https://t.co/4kBfGPJTCU,N/A,N/A,N/A,N/A
MariaMurillo87,Highlight del día: hoy tuve final de matemáticas y la profesora lo estaba calificando y vio que me equivoqué en una… https://t.co/4kBfGPJTCU,N/A,N/A,N/A,N/A
CaamiCotoia,@Gracemazzola Y como a mí en matemáticas,N/A,N/A,N/A,N/A
CastelMyPride,"Fue, tengo que hacer 10 oraciones para inglés, tengo que hacer la fotocopia de matemáticas y de naturales y el resu… https://t.co/gEfD4Cucr4",N/A,N/A,N/A,N/A
U_23581321,"@UnCharalRojo Y pues el mame es del tipo de: ""seguro son biólogos porque no entendían matemáticas"" jaja",N/A,N/A,N/A,N/A
aixaa17,Todavía no caigo que me aprobó el de matemáticas,N/A,N/A,N/A,N/A
ozonotelevision,"Colegio AIAPAEC, el colegio campeón de matemáticas en Trujillo, alienta a la selección peruana en el primer choque.… https://t.co/dgha0fZDan",N/A,N/A,N/A,N/A
RoigIgnacio,Estas son las 12 ecuaciones matemáticas más hermosas  https://t.co/D62WFEs9se via @sophimania,N/A,N/A,N/A,N/A
_CastilloHector,"Felicidades a Pablo Valeriano, estudiante santacatarinense y tercer mejor oro en México en la Olimpiada Nacional de… https://t.co/a8VJbI9hRJ",N/A,N/A,N/A,N/A
xlittleeddie,matemáticas https://t.co/R1lgepg9x3,N/A,N/A,N/A,N/A
PerlaRuelas18,Muestra algo por lo que te sientas agradecido hoy. — Que mi maestro de matemáticas ma haya valido mi trabajo con t… https://t.co/EXwRrn5S5J,N/A,N/A,N/A,N/A
ximkaramsor,Ah no pero en lugar de eso ya saqué 5 en matemáticas por qué en lugar de prestar atención a la clase me pongo a pen… https://t.co/xMeYZGzHcD,N/A,N/A,N/A,N/A
RoxanaFadul,"Número Pi, una curiosa cifra utilizada para casi todo #Matemáticas https://t.co/MiuDPYSNVm",N/A,N/A,N/A,N/A
Aris28rd,@KevenYHensy Tan yo en Matemáticas uyy que dolor de cabeza.,N/A,N/A,N/A,N/A
hellsmyhead,el episodio de bart desesperado xq no quiere repetir de año y por mas q lo intentó reprobó me hizo mal es yo con matemáticas,N/A,N/A,N/A,N/A
yuuhbraaz,consigo lembrar as letras de músicas de 2009 mas não consigo lembrar fórmulas matemáticas que aprendi semana passada na Videoaula.,N/A,N/A,N/A,N/A
bolopadron,"No se en que me va peor, si en matemáticas superiores o si en el amor",N/A,N/A,N/A,N/A
ESantosAragon,"Yo, cuando estudio matemáticas. https://t.co/ScX3MHU5Ua",N/A,N/A,N/A,N/A
Rivero12Dani,Estoy más cerca de aprender matemáticas antes que a las mujeres,N/A,N/A,N/A,N/A
virtualarissa,@vitorleessa migo vc esta louco nas matematicas deus te livre,N/A,N/A,N/A,N/A
elmagister666,Yo dando clases de matemáticas #BuenViernes #Tips #TGIF https://t.co/9034tLp2fv,N/A,N/A,N/A,N/A
BarbagelataMkt,"Los matemáticos me odiarán por decir esto, pero antes de los ordenadores las matemáticas no eran muy útiles para... https://t.co/HKtIITA3HN",N/A,N/A,N/A,N/A
Luis_10_MH,@bilmaone ...En wikipedia se dice que es machista decir que los hombre son mejores para las matemáticas que las muj… https://t.co/K73YYh0Cyc,N/A,N/A,N/A,N/A
bntxart,Yo en Matemáticas https://t.co/npe5dkBBio,N/A,N/A,N/A,N/A
erika17li,"La cosa es que siempre he odiado las matemáticas, pero hoy deSperté con unas enormes ganas de resolver ecuaciones 😐 wtf!!!",N/A,N/A,N/A,N/A
DrakeRajanj,"@CrisFK0 Por las matematicas, si miramos las probabilidaddes, existe un mayor pocentaje de haters de Dalas que son… https://t.co/NyTTjFEXbD",N/A,N/A,N/A,N/A
carlalopez16_,por favor jesus ayudame a aprobar matemáticas y griego por favor te pidoooooooooo,N/A,N/A,N/A,N/A
AguusSchneider,Cuando lo haces aprobar matemáticas a tu novio https://t.co/8vatTpyANU,N/A,N/A,N/A,N/A
DatoFit,"Número Pi, una curiosa cifra utilizada para casi todo #Matemáticas https://t.co/KItCj6Ic9T",N/A,N/A,N/A,N/A
nicochirino75,Matematicas a diciembre 😑😑,N/A,N/A,N/A,N/A
Cademyrd,"Curso de Matemáticas
Para Universitarios y Pre-universitarios
Sáb del 11 de Nov al Sáb 12 de Dic.
Horario 10:00am @… https://t.co/4dsceJVHln",N/A,N/A,N/A,N/A
pumarecordakd,@GzRubbo @SantiRamirezOk @RacingManiacos Uno que de visitante al menos salga en búsqueda del gol y no salir a empat… https://t.co/aKOiTVxLTV,N/A,N/A,N/A,N/A
CandeAbril26,@gaabriellyvf siii bldaaa!!! inglés y matemáticas de segundo año SEGUNDO AÑO!!! Q ALGUIEN ME PEGUE UN TIRO,N/A,N/A,N/A,N/A
Marcos_delle,esto de tener 6 horas de matemáticas te explota la cien,N/A,N/A,N/A,N/A
juniodel78,"... cierto es que las matemáticas están presentes en todo lo que nos rodea, pero en ciertas disciplinas de la vida,… https://t.co/EQBFoFjzNT",N/A,N/A,N/A,N/A
Mcnuel99,"Querido examen de Temas selectos de matemáticas, la proxima vez que sean dos botes de vaselina.",N/A,N/A,N/A,N/A
ricardowec,La App que ayuda a que tus hijos puedan aprender matemáticas online https://t.co/oNonsuD9aV https://t.co/Oo43febYiw,N/A,N/A,N/A,N/A
doblaspenis,"00:00 sacar más de 78 en el examen de matemáticas del lunes, PASAR TODAS LAS MATERIAS CHABÓN",N/A,N/A,N/A,N/A
Heey_Loirinha1,consigo lembrar as letras de músicas de 2009 mas não consigo lembrar fórmulas matemáticas que aprendi semana passada na escola,N/A,N/A,N/A,N/A
LizetteMtz2,"@ElJuanpaZurita 
Sobre todo el de matemáticas jajaja 😂 https://t.co/ljWwtilaUL",N/A,N/A,N/A,N/A
jeOz_pr99,"Busca ayuda seria con matemáticas
#EXOlympics2018 
@weareoneEXO https://t.co/SbW8id3lnt",N/A,N/A,N/A,N/A
